seasonid,baseline,threshold,percent_pni,percent_complete,number_influenza,number_pneumonia,all_deaths,total_pni,weeknumber,geo_description,age_label,week_start,week_end,year_week_num,mmwrid,coverage_area,region_name,callout
59,,,0.05,0.983,0,48,955,48,40,State,All,2019-09-29,2019-10-05,40,3014,state,Alabama,At or Above Threshold
59,,,0.039,0.9690000000000001,0,37,941,37,41,State,All,2019-10-06,2019-10-12,41,3015,state,Alabama,At or Above Threshold
59,,,0.045,1,0,46,1012,46,42,State,All,2019-10-13,2019-10-19,42,3016,state,Alabama,At or Above Threshold
59,,,0.044000000000000004,1,2,42,1000,44,43,State,All,2019-10-20,2019-10-26,43,3017,state,Alabama,At or Above Threshold
59,,,0.057,0.99,2,53,962,55,44,State,All,2019-10-27,2019-11-02,44,3018,state,Alabama,At or Above Threshold
59,,,0.049,1,0,52,1054,52,45,State,All,2019-11-03,2019-11-09,45,3019,state,Alabama,At or Above Threshold
59,,,0.061,1,0,67,1099,67,46,State,All,2019-11-10,2019-11-16,46,3020,state,Alabama,At or Above Threshold
59,,,0.043,1,3,43,1061,46,47,State,All,2019-11-17,2019-11-23,47,3021,state,Alabama,At or Above Threshold
59,,,0.076,1,2,78,1049,80,48,State,All,2019-11-24,2019-11-30,48,3022,state,Alabama,At or Above Threshold
59,,,0.053,1,2,55,1072,57,49,State,All,2019-12-01,2019-12-07,49,3023,state,Alabama,At or Above Threshold
59,,,0.055999999999999994,1,4,59,1117,63,50,State,All,2019-12-08,2019-12-14,50,3024,state,Alabama,At or Above Threshold
59,,,0.055,1,2,59,1116,61,51,State,All,2019-12-15,2019-12-21,51,3025,state,Alabama,At or Above Threshold
59,,,0.055999999999999994,1,2,57,1059,59,52,State,All,2019-12-22,2019-12-28,52,3026,state,Alabama,At or Above Threshold
59,,,0.066,1,5,67,1092,72,1,State,All,2019-12-29,2020-01-04,1,3027,state,Alabama,At or Above Threshold
59,,,0.08,1,9,83,1148,92,2,State,All,2020-01-05,2020-01-11,2,3028,state,Alabama,At or Above Threshold
59,,,0.065,1,7,63,1071,70,3,State,All,2020-01-12,2020-01-18,3,3029,state,Alabama,At or Above Threshold
59,,,0.07,1,7,68,1078,75,4,State,All,2020-01-19,2020-01-25,4,3030,state,Alabama,At or Above Threshold
59,,,0.068,1,16,55,1049,71,5,State,All,2020-01-26,2020-02-01,5,3031,state,Alabama,At or Above Threshold
59,,,0.068,1,12,64,1115,76,6,State,All,2020-02-02,2020-02-08,6,3032,state,Alabama,At or Above Threshold
59,,,0.079,1,7,79,1093,86,7,State,All,2020-02-09,2020-02-15,7,3033,state,Alabama,At or Above Threshold
59,,,0.07200000000000001,1,4,75,1102,79,8,State,All,2020-02-16,2020-02-22,8,3034,state,Alabama,At or Above Threshold
59,,,0.07200000000000001,1,14,70,1163,84,9,State,All,2020-02-23,2020-02-29,9,3035,state,Alabama,At or Above Threshold
59,,,0.069,1,13,62,1080,75,10,State,All,2020-03-01,2020-03-07,10,3036,state,Alabama,At or Above Threshold
59,,,0.061,1,7,59,1076,66,11,State,All,2020-03-08,2020-03-14,11,3037,state,Alabama,At or Above Threshold
59,,,0.081,1,7,79,1066,86,12,State,All,2020-03-15,2020-03-21,12,3038,state,Alabama,At or Above Threshold
59,,,0.07400000000000001,1,8,71,1061,79,13,State,All,2020-03-22,2020-03-28,13,3039,state,Alabama,At or Above Threshold
59,,,0.062,1,3,68,1146,71,14,State,All,2020-03-29,2020-04-04,14,3040,state,Alabama,At or Above Threshold
59,,,0.079,1,3,84,1103,87,15,State,All,2020-04-05,2020-04-11,15,3041,state,Alabama,At or Above Threshold
59,,,0.087,1,0,95,1098,95,16,State,All,2020-04-12,2020-04-18,16,3042,state,Alabama,At or Above Threshold
59,,,0.073,1,1,76,1061,77,17,State,All,2020-04-19,2020-04-25,17,3043,state,Alabama,At or Above Threshold
59,,,0.078,1,1,78,1016,79,18,State,All,2020-04-26,2020-05-02,18,3044,state,Alabama,At or Above Threshold
59,,,0.084,0.966,0,79,938,79,19,State,All,2020-05-03,2020-05-09,19,3045,state,Alabama,At or Above Threshold
59,,,0.068,0.6859999999999999,2,43,666,45,20,State,All,2020-05-10,2020-05-16,20,3046,state,Alabama,At or Above Threshold
59,,,0.05,0.268,0,13,260,13,21,State,All,2020-05-17,2020-05-23,21,3047,state,Alabama,At or Above Threshold
59,,,0.064,1,0,6,94,6,40,State,All,2019-09-29,2019-10-05,40,3014,state,Alaska,At or Above Threshold
59,,,0.07400000000000001,1,0,7,94,7,41,State,All,2019-10-06,2019-10-12,41,3015,state,Alaska,At or Above Threshold
59,,,0.032,1,0,3,95,3,42,State,All,2019-10-13,2019-10-19,42,3016,state,Alaska,At or Above Threshold
59,,,0.057,0.861,0,4,70,4,43,State,All,2019-10-20,2019-10-26,43,3017,state,Alaska,At or Above Threshold
59,,,0.057999999999999996,1,0,5,86,5,44,State,All,2019-10-27,2019-11-02,44,3018,state,Alaska,At or Above Threshold
59,,,0.071,1,0,7,98,7,45,State,All,2019-11-03,2019-11-09,45,3019,state,Alaska,At or Above Threshold
59,,,0.011000000000000001,1,0,1,91,1,46,State,All,2019-11-10,2019-11-16,46,3020,state,Alaska,At or Above Threshold
59,,,0.043,1,0,4,94,4,47,State,All,2019-11-17,2019-11-23,47,3021,state,Alaska,At or Above Threshold
59,,,0.047,1,0,5,107,5,48,State,All,2019-11-24,2019-11-30,48,3022,state,Alaska,At or Above Threshold
59,,,0.069,1,1,6,102,7,49,State,All,2019-12-01,2019-12-07,49,3023,state,Alaska,At or Above Threshold
59,,,0.031,1,0,3,97,3,50,State,All,2019-12-08,2019-12-14,50,3024,state,Alaska,At or Above Threshold
59,,,0.036000000000000004,1,1,2,84,3,51,State,All,2019-12-15,2019-12-21,51,3025,state,Alaska,At or Above Threshold
59,,,0.12300000000000001,1,1,12,106,13,52,State,All,2019-12-22,2019-12-28,52,3026,state,Alaska,At or Above Threshold
59,,,0.055,1,1,4,91,5,1,State,All,2019-12-29,2020-01-04,1,3027,state,Alaska,At or Above Threshold
59,,,0.037000000000000005,1,0,4,108,4,2,State,All,2020-01-05,2020-01-11,2,3028,state,Alaska,At or Above Threshold
59,,,0.049,1,0,5,102,5,3,State,All,2020-01-12,2020-01-18,3,3029,state,Alaska,At or Above Threshold
59,,,0.02,1,0,2,102,2,4,State,All,2020-01-19,2020-01-25,4,3030,state,Alaska,At or Above Threshold
59,,,0.045,1,1,3,89,4,5,State,All,2020-01-26,2020-02-01,5,3031,state,Alaska,At or Above Threshold
59,,,0.043,1,1,3,92,4,6,State,All,2020-02-02,2020-02-08,6,3032,state,Alaska,At or Above Threshold
59,,,0,1,0,0,92,0,7,State,All,2020-02-09,2020-02-15,7,3033,state,Alaska,At or Above Threshold
59,,,0.067,1,2,4,89,6,8,State,All,2020-02-16,2020-02-22,8,3034,state,Alaska,At or Above Threshold
59,,,0.08,1,1,6,87,7,9,State,All,2020-02-23,2020-02-29,9,3035,state,Alaska,At or Above Threshold
59,,,0.024,1,0,2,82,2,10,State,All,2020-03-01,2020-03-07,10,3036,state,Alaska,At or Above Threshold
59,,,0.076,1,0,7,92,7,11,State,All,2020-03-08,2020-03-14,11,3037,state,Alaska,At or Above Threshold
59,,,0.138,0.799,1,8,65,9,12,State,All,2020-03-15,2020-03-21,12,3038,state,Alaska,At or Above Threshold
59,,,0.11599999999999999,1,1,9,86,10,13,State,All,2020-03-22,2020-03-28,13,3039,state,Alaska,At or Above Threshold
59,,,0.083,1,0,8,96,8,14,State,All,2020-03-29,2020-04-04,14,3040,state,Alaska,At or Above Threshold
59,,,0.053,0.935,0,4,76,4,15,State,All,2020-04-05,2020-04-11,15,3041,state,Alaska,At or Above Threshold
59,,,0.040999999999999995,0.91,0,3,74,3,16,State,All,2020-04-12,2020-04-18,16,3042,state,Alaska,At or Above Threshold
59,,,0.063,0.775,0,4,63,4,17,State,All,2020-04-19,2020-04-25,17,3043,state,Alaska,At or Above Threshold
59,,,0.013999999999999999,0.898,0,1,73,1,18,State,All,2020-04-26,2020-05-02,18,3044,state,Alaska,At or Above Threshold
59,,,0.016,0.775,0,1,63,1,19,State,All,2020-05-03,2020-05-09,19,3045,state,Alaska,At or Above Threshold
59,,,0.053,0.467,0,2,38,2,20,State,All,2020-05-10,2020-05-16,20,3046,state,Alaska,At or Above Threshold
59,,,0,0.221,0,0,18,0,21,State,All,2020-05-17,2020-05-23,21,3047,state,Alaska,At or Above Threshold
59,,,0.047,1,0,52,1110,52,40,State,All,2019-09-29,2019-10-05,40,3014,state,Arizona,At or Above Threshold
59,,,0.047,1,2,50,1114,52,41,State,All,2019-10-06,2019-10-12,41,3015,state,Arizona,At or Above Threshold
59,,,0.047,1,2,51,1139,53,42,State,All,2019-10-13,2019-10-19,42,3016,state,Arizona,At or Above Threshold
59,,,0.053,0.977,1,53,1012,54,43,State,All,2019-10-20,2019-10-26,43,3017,state,Arizona,At or Above Threshold
59,,,0.055999999999999994,1,1,63,1133,64,44,State,All,2019-10-27,2019-11-02,44,3018,state,Arizona,At or Above Threshold
59,,,0.049,1,0,61,1246,61,45,State,All,2019-11-03,2019-11-09,45,3019,state,Arizona,At or Above Threshold
59,,,0.062,1,0,73,1176,73,46,State,All,2019-11-10,2019-11-16,46,3020,state,Arizona,At or Above Threshold
59,,,0.054000000000000006,1,1,63,1191,64,47,State,All,2019-11-17,2019-11-23,47,3021,state,Arizona,At or Above Threshold
59,,,0.051,1,2,55,1113,57,48,State,All,2019-11-24,2019-11-30,48,3022,state,Arizona,At or Above Threshold
59,,,0.051,1,5,56,1192,61,49,State,All,2019-12-01,2019-12-07,49,3023,state,Arizona,At or Above Threshold
59,,,0.07400000000000001,1,3,83,1164,86,50,State,All,2019-12-08,2019-12-14,50,3024,state,Arizona,At or Above Threshold
59,,,0.055999999999999994,1,3,62,1151,65,51,State,All,2019-12-15,2019-12-21,51,3025,state,Arizona,At or Above Threshold
59,,,0.05,1,0,60,1205,60,52,State,All,2019-12-22,2019-12-28,52,3026,state,Arizona,At or Above Threshold
59,,,0.068,1,4,82,1274,86,1,State,All,2019-12-29,2020-01-04,1,3027,state,Arizona,At or Above Threshold
59,,,0.07,1,8,86,1349,94,2,State,All,2020-01-05,2020-01-11,2,3028,state,Arizona,At or Above Threshold
59,,,0.055999999999999994,1,7,64,1258,71,3,State,All,2020-01-12,2020-01-18,3,3029,state,Arizona,At or Above Threshold
59,,,0.08199999999999999,1,11,91,1237,102,4,State,All,2020-01-19,2020-01-25,4,3030,state,Arizona,At or Above Threshold
59,,,0.067,1,12,71,1244,83,5,State,All,2020-01-26,2020-02-01,5,3031,state,Arizona,At or Above Threshold
59,,,0.071,1,9,78,1224,87,6,State,All,2020-02-02,2020-02-08,6,3032,state,Arizona,At or Above Threshold
59,,,0.08199999999999999,1,14,90,1271,104,7,State,All,2020-02-09,2020-02-15,7,3033,state,Arizona,At or Above Threshold
59,,,0.069,1,11,77,1280,88,8,State,All,2020-02-16,2020-02-22,8,3034,state,Arizona,At or Above Threshold
59,,,0.067,1,13,75,1308,88,9,State,All,2020-02-23,2020-02-29,9,3035,state,Arizona,At or Above Threshold
59,,,0.062,1,14,69,1336,83,10,State,All,2020-03-01,2020-03-07,10,3036,state,Arizona,At or Above Threshold
59,,,0.068,1,10,77,1284,87,11,State,All,2020-03-08,2020-03-14,11,3037,state,Arizona,At or Above Threshold
59,,,0.083,1,7,96,1247,103,12,State,All,2020-03-15,2020-03-21,12,3038,state,Arizona,At or Above Threshold
59,,,0.094,1,4,116,1271,120,13,State,All,2020-03-22,2020-03-28,13,3039,state,Arizona,At or Above Threshold
59,,,0.095,1,4,121,1310,125,14,State,All,2020-03-29,2020-04-04,14,3040,state,Arizona,At or Above Threshold
59,,,0.107,1,3,142,1360,145,15,State,All,2020-04-05,2020-04-11,15,3041,state,Arizona,At or Above Threshold
59,,,0.086,1,1,108,1274,109,16,State,All,2020-04-12,2020-04-18,16,3042,state,Arizona,At or Above Threshold
59,,,0.086,1,1,113,1330,114,17,State,All,2020-04-19,2020-04-25,17,3043,state,Arizona,At or Above Threshold
59,,,0.094,1,0,125,1333,125,18,State,All,2020-04-26,2020-05-02,18,3044,state,Arizona,At or Above Threshold
59,,,0.094,1,0,123,1303,123,19,State,All,2020-05-03,2020-05-09,19,3045,state,Arizona,At or Above Threshold
59,,,0.083,0.9390000000000001,0,81,973,81,20,State,All,2020-05-10,2020-05-16,20,3046,state,Arizona,At or Above Threshold
59,,,0.044000000000000004,0.304,0,14,315,14,21,State,All,2020-05-17,2020-05-23,21,3047,state,Arizona,At or Above Threshold
59,,,0.045,0.966,0,26,579,26,40,State,All,2019-09-29,2019-10-05,40,3014,state,Arkansas,At or Above Threshold
59,,,0.048,1,0,29,603,29,41,State,All,2019-10-06,2019-10-12,41,3015,state,Arkansas,At or Above Threshold
59,,,0.055999999999999994,1,0,35,624,35,42,State,All,2019-10-13,2019-10-19,42,3016,state,Arkansas,At or Above Threshold
59,,,0.064,1,2,39,640,41,43,State,All,2019-10-20,2019-10-26,43,3017,state,Arkansas,At or Above Threshold
59,,,0.048,1,0,29,607,29,44,State,All,2019-10-27,2019-11-02,44,3018,state,Arkansas,At or Above Threshold
59,,,0.069,1,0,43,621,43,45,State,All,2019-11-03,2019-11-09,45,3019,state,Arkansas,At or Above Threshold
59,,,0.064,1,1,42,676,43,46,State,All,2019-11-10,2019-11-16,46,3020,state,Arkansas,At or Above Threshold
59,,,0.049,1,0,32,647,32,47,State,All,2019-11-17,2019-11-23,47,3021,state,Arkansas,At or Above Threshold
59,,,0.051,1,0,34,666,34,48,State,All,2019-11-24,2019-11-30,48,3022,state,Arkansas,At or Above Threshold
59,,,0.066,1,0,41,623,41,49,State,All,2019-12-01,2019-12-07,49,3023,state,Arkansas,At or Above Threshold
59,,,0.052000000000000005,1,2,33,669,35,50,State,All,2019-12-08,2019-12-14,50,3024,state,Arkansas,At or Above Threshold
59,,,0.069,1,2,41,623,43,51,State,All,2019-12-15,2019-12-21,51,3025,state,Arkansas,At or Above Threshold
59,,,0.07,1,4,46,717,50,52,State,All,2019-12-22,2019-12-28,52,3026,state,Arkansas,At or Above Threshold
59,,,0.09,1,6,57,698,63,1,State,All,2019-12-29,2020-01-04,1,3027,state,Arkansas,At or Above Threshold
59,,,0.084,1,4,54,694,58,2,State,All,2020-01-05,2020-01-11,2,3028,state,Arkansas,At or Above Threshold
59,,,0.071,1,6,41,659,47,3,State,All,2020-01-12,2020-01-18,3,3029,state,Arkansas,At or Above Threshold
59,,,0.071,1,4,40,621,44,4,State,All,2020-01-19,2020-01-25,4,3030,state,Arkansas,At or Above Threshold
59,,,0.095,1,8,57,686,65,5,State,All,2020-01-26,2020-02-01,5,3031,state,Arkansas,At or Above Threshold
59,,,0.087,1,9,51,686,60,6,State,All,2020-02-02,2020-02-08,6,3032,state,Arkansas,At or Above Threshold
59,,,0.059000000000000004,1,5,36,699,41,7,State,All,2020-02-09,2020-02-15,7,3033,state,Arkansas,At or Above Threshold
59,,,0.08900000000000001,1,11,51,695,62,8,State,All,2020-02-16,2020-02-22,8,3034,state,Arkansas,At or Above Threshold
59,,,0.062,1,7,34,665,41,9,State,All,2020-02-23,2020-02-29,9,3035,state,Arkansas,At or Above Threshold
59,,,0.075,1,9,43,694,52,10,State,All,2020-03-01,2020-03-07,10,3036,state,Arkansas,At or Above Threshold
59,,,0.066,1,4,37,625,41,11,State,All,2020-03-08,2020-03-14,11,3037,state,Arkansas,At or Above Threshold
59,,,0.098,1,11,52,640,63,12,State,All,2020-03-15,2020-03-21,12,3038,state,Arkansas,At or Above Threshold
59,,,0.078,1,5,45,639,50,13,State,All,2020-03-22,2020-03-28,13,3039,state,Arkansas,At or Above Threshold
59,,,0.081,1,0,50,614,50,14,State,All,2020-03-29,2020-04-04,14,3040,state,Arkansas,At or Above Threshold
59,,,0.1,1,2,60,621,62,15,State,All,2020-04-05,2020-04-11,15,3041,state,Arkansas,At or Above Threshold
59,,,0.081,1,0,51,631,51,16,State,All,2020-04-12,2020-04-18,16,3042,state,Arkansas,At or Above Threshold
59,,,0.073,1,0,44,603,44,17,State,All,2020-04-19,2020-04-25,17,3043,state,Arkansas,At or Above Threshold
59,,,0.065,1,0,39,604,39,18,State,All,2020-04-26,2020-05-02,18,3044,state,Arkansas,At or Above Threshold
59,,,0.062,0.996,1,36,597,37,19,State,All,2020-05-03,2020-05-09,19,3045,state,Arkansas,At or Above Threshold
59,,,0.037000000000000005,0.6809999999999999,1,14,408,15,20,State,All,2020-05-10,2020-05-16,20,3046,state,Arkansas,At or Above Threshold
59,,,0.055999999999999994,0.36,0,12,216,12,21,State,All,2020-05-17,2020-05-23,21,3047,state,Arkansas,At or Above Threshold
59,,,0.054000000000000006,1,1,265,4960,266,40,State,All,2019-09-29,2019-10-05,40,3014,state,California,At or Above Threshold
59,,,0.063,0.995,0,308,4893,308,41,State,All,2019-10-06,2019-10-12,41,3015,state,California,At or Above Threshold
59,,,0.057999999999999996,1,2,293,5047,295,42,State,All,2019-10-13,2019-10-19,42,3016,state,California,At or Above Threshold
59,,,0.062,1,2,313,5073,315,43,State,All,2019-10-20,2019-10-26,43,3017,state,California,At or Above Threshold
59,,,0.064,1,3,322,5105,325,44,State,All,2019-10-27,2019-11-02,44,3018,state,California,At or Above Threshold
59,,,0.065,1,5,338,5274,343,45,State,All,2019-11-03,2019-11-09,45,3019,state,California,At or Above Threshold
59,,,0.059000000000000004,1,2,297,5096,299,46,State,All,2019-11-10,2019-11-16,46,3020,state,California,At or Above Threshold
59,,,0.062,1,3,313,5130,316,47,State,All,2019-11-17,2019-11-23,47,3021,state,California,At or Above Threshold
59,,,0.059000000000000004,1,9,295,5164,304,48,State,All,2019-11-24,2019-11-30,48,3022,state,California,At or Above Threshold
59,,,0.07,1,14,372,5488,386,49,State,All,2019-12-01,2019-12-07,49,3023,state,California,At or Above Threshold
59,,,0.068,1,11,354,5341,365,50,State,All,2019-12-08,2019-12-14,50,3024,state,California,At or Above Threshold
59,,,0.069,1,13,357,5374,370,51,State,All,2019-12-15,2019-12-21,51,3025,state,California,At or Above Threshold
59,,,0.069,1,23,361,5527,384,52,State,All,2019-12-22,2019-12-28,52,3026,state,California,At or Above Threshold
59,,,0.086,1,42,463,5862,505,1,State,All,2019-12-29,2020-01-04,1,3027,state,California,At or Above Threshold
59,,,0.08,1,50,416,5836,466,2,State,All,2020-01-05,2020-01-11,2,3028,state,California,At or Above Threshold
59,,,0.09699999999999999,1,65,498,5781,563,3,State,All,2020-01-12,2020-01-18,3,3029,state,California,At or Above Threshold
59,,,0.087,1,69,437,5792,506,4,State,All,2020-01-19,2020-01-25,4,3030,state,California,At or Above Threshold
59,,,0.085,1,58,423,5654,481,5,State,All,2020-01-26,2020-02-01,5,3031,state,California,At or Above Threshold
59,,,0.087,1,68,445,5882,513,6,State,All,2020-02-02,2020-02-08,6,3032,state,California,At or Above Threshold
59,,,0.09,1,73,426,5553,499,7,State,All,2020-02-09,2020-02-15,7,3033,state,California,At or Above Threshold
59,,,0.091,1,71,455,5754,526,8,State,All,2020-02-16,2020-02-22,8,3034,state,California,At or Above Threshold
59,,,0.08800000000000001,1,71,427,5641,498,9,State,All,2020-02-23,2020-02-29,9,3035,state,California,At or Above Threshold
59,,,0.09300000000000001,1,55,473,5672,528,10,State,All,2020-03-01,2020-03-07,10,3036,state,California,At or Above Threshold
59,,,0.08800000000000001,1,52,421,5404,473,11,State,All,2020-03-08,2020-03-14,11,3037,state,California,At or Above Threshold
59,,,0.092,1,44,475,5626,519,12,State,All,2020-03-15,2020-03-21,12,3038,state,California,At or Above Threshold
59,,,0.105,1,27,566,5625,593,13,State,All,2020-03-22,2020-03-28,13,3039,state,California,At or Above Threshold
59,,,0.10800000000000001,1,24,616,5902,640,14,State,All,2020-03-29,2020-04-04,14,3040,state,California,At or Above Threshold
59,,,0.106,1,4,626,5920,630,15,State,All,2020-04-05,2020-04-11,15,3041,state,California,At or Above Threshold
59,,,0.11900000000000001,1,7,700,5957,707,16,State,All,2020-04-12,2020-04-18,16,3042,state,California,At or Above Threshold
59,,,0.109,1,1,606,5568,607,17,State,All,2020-04-19,2020-04-25,17,3043,state,California,At or Above Threshold
59,,,0.1,1,0,530,5294,530,18,State,All,2020-04-26,2020-05-02,18,3044,state,California,At or Above Threshold
59,,,0.10400000000000001,1,1,525,5054,526,19,State,All,2020-05-03,2020-05-09,19,3045,state,California,At or Above Threshold
59,,,0.08,0.718,1,281,3527,282,20,State,All,2020-05-10,2020-05-16,20,3046,state,California,At or Above Threshold
59,,,,0.2,,,,,21,State,All,2020-05-17,2020-05-23,21,3047,state,California,Normal levels
59,,,0.039,1,0,28,715,28,40,State,All,2019-09-29,2019-10-05,40,3014,state,Colorado,At or Above Threshold
59,,,0.031,1,0,23,750,23,41,State,All,2019-10-06,2019-10-12,41,3015,state,Colorado,At or Above Threshold
59,,,0.05,1,0,40,797,40,42,State,All,2019-10-13,2019-10-19,42,3016,state,Colorado,At or Above Threshold
59,,,0.05,1,1,38,782,39,43,State,All,2019-10-20,2019-10-26,43,3017,state,Colorado,At or Above Threshold
59,,,0.043,1,3,29,744,32,44,State,All,2019-10-27,2019-11-02,44,3018,state,Colorado,At or Above Threshold
59,,,0.061,1,0,47,775,47,45,State,All,2019-11-03,2019-11-09,45,3019,state,Colorado,At or Above Threshold
59,,,0.035,1,1,26,777,27,46,State,All,2019-11-10,2019-11-16,46,3020,state,Colorado,At or Above Threshold
59,,,0.031,1,2,21,753,23,47,State,All,2019-11-17,2019-11-23,47,3021,state,Colorado,At or Above Threshold
59,,,0.057,1,0,41,721,41,48,State,All,2019-11-24,2019-11-30,48,3022,state,Colorado,At or Above Threshold
59,,,0.038,1,0,28,734,28,49,State,All,2019-12-01,2019-12-07,49,3023,state,Colorado,At or Above Threshold
59,,,0.047,1,1,36,782,37,50,State,All,2019-12-08,2019-12-14,50,3024,state,Colorado,At or Above Threshold
59,,,0.064,1,6,45,795,51,51,State,All,2019-12-15,2019-12-21,51,3025,state,Colorado,At or Above Threshold
59,,,0.035,1,1,28,838,29,52,State,All,2019-12-22,2019-12-28,52,3026,state,Colorado,At or Above Threshold
59,,,0.062,1,5,47,837,52,1,State,All,2019-12-29,2020-01-04,1,3027,state,Colorado,At or Above Threshold
59,,,0.068,1,7,51,853,58,2,State,All,2020-01-05,2020-01-11,2,3028,state,Colorado,At or Above Threshold
59,,,0.079,1,9,57,834,66,3,State,All,2020-01-12,2020-01-18,3,3029,state,Colorado,At or Above Threshold
59,,,0.084,1,21,50,845,71,4,State,All,2020-01-19,2020-01-25,4,3030,state,Colorado,At or Above Threshold
59,,,0.063,1,6,43,783,49,5,State,All,2020-01-26,2020-02-01,5,3031,state,Colorado,At or Above Threshold
59,,,0.071,1,11,48,830,59,6,State,All,2020-02-02,2020-02-08,6,3032,state,Colorado,At or Above Threshold
59,,,0.07,1,7,49,798,56,7,State,All,2020-02-09,2020-02-15,7,3033,state,Colorado,At or Above Threshold
59,,,0.055,1,3,45,869,48,8,State,All,2020-02-16,2020-02-22,8,3034,state,Colorado,At or Above Threshold
59,,,0.08800000000000001,1,16,57,831,73,9,State,All,2020-02-23,2020-02-29,9,3035,state,Colorado,At or Above Threshold
59,,,0.07200000000000001,1,9,49,807,58,10,State,All,2020-03-01,2020-03-07,10,3036,state,Colorado,At or Above Threshold
59,,,0.057,1,10,36,803,46,11,State,All,2020-03-08,2020-03-14,11,3037,state,Colorado,At or Above Threshold
59,,,0.09,1,11,67,869,78,12,State,All,2020-03-15,2020-03-21,12,3038,state,Colorado,At or Above Threshold
59,,,0.107,1,7,84,849,91,13,State,All,2020-03-22,2020-03-28,13,3039,state,Colorado,At or Above Threshold
59,,,0.166,1,8,148,939,156,14,State,All,2020-03-29,2020-04-04,14,3040,state,Colorado,At or Above Threshold
59,,,0.174,1,3,183,1069,186,15,State,All,2020-04-05,2020-04-11,15,3041,state,Colorado,At or Above Threshold
59,,,0.14400000000000002,1,0,155,1080,155,16,State,All,2020-04-12,2020-04-18,16,3042,state,Colorado,At or Above Threshold
59,,,0.142,1,1,145,1025,146,17,State,All,2020-04-19,2020-04-25,17,3043,state,Colorado,At or Above Threshold
59,,,0.128,1,0,121,948,121,18,State,All,2020-04-26,2020-05-02,18,3044,state,Colorado,At or Above Threshold
59,,,0.115,1,0,95,829,95,19,State,All,2020-05-03,2020-05-09,19,3045,state,Colorado,At or Above Threshold
59,,,0.084,1,0,58,694,58,20,State,All,2020-05-10,2020-05-16,20,3046,state,Colorado,At or Above Threshold
59,,,0.039,0.40299999999999997,0,11,279,11,21,State,All,2020-05-17,2020-05-23,21,3047,state,Colorado,At or Above Threshold
59,,,0.031,0.986,0,18,573,18,40,State,All,2019-09-29,2019-10-05,40,3014,state,Connecticut,At or Above Threshold
59,,,0.066,0.9620000000000001,0,37,559,37,41,State,All,2019-10-06,2019-10-12,41,3015,state,Connecticut,At or Above Threshold
59,,,0.05,1,0,30,595,30,42,State,All,2019-10-13,2019-10-19,42,3016,state,Connecticut,At or Above Threshold
59,,,0.061,0.955,0,34,555,34,43,State,All,2019-10-20,2019-10-26,43,3017,state,Connecticut,At or Above Threshold
59,,,0.045,1,1,26,600,27,44,State,All,2019-10-27,2019-11-02,44,3018,state,Connecticut,At or Above Threshold
59,,,0.055,1,2,31,600,33,45,State,All,2019-11-03,2019-11-09,45,3019,state,Connecticut,At or Above Threshold
59,,,0.055999999999999994,1,0,35,628,35,46,State,All,2019-11-10,2019-11-16,46,3020,state,Connecticut,At or Above Threshold
59,,,0.067,1,0,43,646,43,47,State,All,2019-11-17,2019-11-23,47,3021,state,Connecticut,At or Above Threshold
59,,,0.046,1,1,29,650,30,48,State,All,2019-11-24,2019-11-30,48,3022,state,Connecticut,At or Above Threshold
59,,,0.054000000000000006,1,1,33,627,34,49,State,All,2019-12-01,2019-12-07,49,3023,state,Connecticut,At or Above Threshold
59,,,0.065,1,0,41,634,41,50,State,All,2019-12-08,2019-12-14,50,3024,state,Connecticut,At or Above Threshold
59,,,0.067,1,1,41,626,42,51,State,All,2019-12-15,2019-12-21,51,3025,state,Connecticut,At or Above Threshold
59,,,0.066,1,3,39,636,42,52,State,All,2019-12-22,2019-12-28,52,3026,state,Connecticut,At or Above Threshold
59,,,0.054000000000000006,1,1,33,629,34,1,State,All,2019-12-29,2020-01-04,1,3027,state,Connecticut,At or Above Threshold
59,,,0.085,1,5,48,622,53,2,State,All,2020-01-05,2020-01-11,2,3028,state,Connecticut,At or Above Threshold
59,,,0.069,1,6,38,634,44,3,State,All,2020-01-12,2020-01-18,3,3029,state,Connecticut,At or Above Threshold
59,,,0.054000000000000006,1,7,28,643,35,4,State,All,2020-01-19,2020-01-25,4,3030,state,Connecticut,At or Above Threshold
59,,,0.078,1,11,41,665,52,5,State,All,2020-01-26,2020-02-01,5,3031,state,Connecticut,At or Above Threshold
59,,,0.068,1,6,37,631,43,6,State,All,2020-02-02,2020-02-08,6,3032,state,Connecticut,At or Above Threshold
59,,,0.07400000000000001,1,13,33,620,46,7,State,All,2020-02-09,2020-02-15,7,3033,state,Connecticut,At or Above Threshold
59,,,0.066,1,11,31,638,42,8,State,All,2020-02-16,2020-02-22,8,3034,state,Connecticut,At or Above Threshold
59,,,0.106,1,8,57,613,65,9,State,All,2020-02-23,2020-02-29,9,3035,state,Connecticut,At or Above Threshold
59,,,0.052000000000000005,0.36700000000000005,0,11,213,11,10,State,All,2020-03-01,2020-03-07,10,3036,state,Connecticut,At or Above Threshold
59,,,0.05,0.342,1,9,199,10,11,State,All,2020-03-08,2020-03-14,11,3037,state,Connecticut,At or Above Threshold
59,,,0.095,0.379,4,17,220,21,12,State,All,2020-03-15,2020-03-21,12,3038,state,Connecticut,At or Above Threshold
